client_id,servicio_id,nombre_servicio,regdate,meses_activo,domainstatus,paymentmethod,billingcycle,total,state
4,479,CLOUD X3,2021-05-24,1.0,Pending,walletbo,Annually,499.0,Santa Cruz
6,18,CLOUD PLUS,2017-07-12,12.0,Terminated,banktransfer,Annually,299.0,Santa Cruz
8,20,CLOUD PLUS,2017-07-16,12.0,Terminated,banktransfer,Annually,299.0,Santa Cruz
10,21,CLOUD PLUS,2017-07-25,1.0,Pending,walletbo,Annually,299.0,Santa Cruz
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
11,24,CLOUD PLUS,2017-07-29,12.0,Suspended,banktransfer,Monthly,99.0,Cochabamba
12,248,Eset Nod32 Antivirus 2018 v.11 / 1 Usuario,2018-07-11,12.0,Pending,banktransfer,Annually,99.0,Cochabamba
12,248,Eset Nod32 Antivirus 2018 v.11 / 1 Usuario,2018-07-11,12.0,Pending,banktransfer,Annually,99.0,Cochabamba
15,25,CLOUD PLUS,2017-08-08,1.0,Pending,qr,Annually,99.0,Santa Cruz
15,25,CLOUD PLUS,2017-08-08,1.0,Pending,qr,Annually,99.0,Santa Cruz
15,25,CLOUD PLUS,2017-08-08,1.0,Pending,qr,Annually,99.0,Santa Cruz
16,26,CLOUD PLUS,2017-08-09,12.0,Suspended,banktransfer,Annually,249.0,La Paz
16,27,CLOUD PLUS,2017-08-09,12.0,Terminated,banktransfer,Annually,249.0,La Paz
16,27,CLOUD PLUS,2017-08-09,12.0,Terminated,banktransfer,Annually,249.0,La Paz
17,29,CLOUD X3,2017-08-17,73.0,Suspended,banktransfer,Annually,620.0,Santa Cruz
17,29,CLOUD X3,2017-08-17,73.0,Suspended,banktransfer,Annually,620.0,Santa Cruz
17,29,CLOUD X3,2017-08-17,73.0,Suspended,banktransfer,Annually,620.0,Santa Cruz
17,29,CLOUD X3,2017-08-17,73.0,Suspended,banktransfer,Annually,620.0,Santa Cruz
17,29,CLOUD X3,2017-08-17,73.0,Suspended,banktransfer,Annually,620.0,Santa Cruz
17,29,CLOUD X3,2017-08-17,73.0,Suspended,banktransfer,Annually,620.0,Santa Cruz
19,31,Combo Play,2017-08-17,24.0,Terminated,banktransfer,Annually,295.0,La Paz
22,33,CLOUD PLUS,2017-09-05,1.0,Pending,banktransfer,Annually,99.0,Santa Cruz
23,34,CLOUD PLUS,2017-09-08,12.0,Suspended,walletbo,Annually,299.0,La Paz
23,39,CLOUD PLUS,2017-09-08,12.0,Suspended,banktransfer,Annually,299.0,La Paz
24,35,Jupiter - Shared x1,2017-09-09,37.0,Terminated,banktransfer,Annually,299.0,Santa Cruz
24,72,CLOUD PLUS,2017-12-18,12.0,Suspended,qr,Quarterly,99.0,Santa Cruz
24,72,CLOUD PLUS,2017-12-18,12.0,Suspended,qr,Quarterly,99.0,Santa Cruz
24,72,CLOUD PLUS,2017-12-18,12.0,Suspended,qr,Quarterly,99.0,Santa Cruz
24,72,CLOUD PLUS,2017-12-18,12.0,Suspended,qr,Quarterly,99.0,Santa Cruz
24,374,Jupiter - Shared x1,2019-08-05,12.0,Terminated,walletbo,Annually,299.0,Santa Cruz
24,455,SHARED TURBO XXL,2020-12-26,12.0,Terminated,paypal,Annually,549.0,Santa Cruz
24,603,Desarrollo Web PLUS,2022-04-25,8.0,Cancelled,paypal,One Time,99.0,Santa Cruz
24,603,Desarrollo Web PLUS,2022-04-25,8.0,Cancelled,paypal,One Time,99.0,Santa Cruz
24,606,CLOUD X1,2022-04-25,13.0,Terminated,banktransfer,Annually,349.0,Santa Cruz
24,606,CLOUD X1,2022-04-25,13.0,Terminated,banktransfer,Annually,349.0,Santa Cruz
25,36,Jupiter - Shared x1,2017-09-21,31.0,Terminated,qr,Annually,99.0,Cochabamba
25,36,Jupiter - Shared x1,2017-09-21,31.0,Terminated,qr,Annually,99.0,Cochabamba
25,36,Jupiter - Shared x1,2017-09-21,31.0,Terminated,qr,Annually,99.0,Cochabamba
